Age  north=Enusmu
Dexulmo  south=Eminege east=Mimosma west=Malnosne
Egasno  south=Dixusno east=Alinudo
Anamago  north=Dasmege south=Ego-Ana east=Desna west=Maleme
Esnimo 
Emaninu  north=Emenaxixixu south=Megudu east=Manenu west=Asno-A
Esnosna  north=Milo-Mu
Exodo-E  north=Dododu west=Melixe
Dalaxinu  north=Elixolu east=Dilanilu
Axo  south=Mo-E east=Enudisne
Dinixu  north=Axixaxo west=Musno
Dasmimu  south=Mosnu
Enexesme 
Anigane  north=Mesnosnixo south=Musnego
Dimelne  south=Axigesmu
Dixaga  south=Mulnile west=Amine
Maxino  north=Agenagu south=Damudu east=Eligegisnu
Mudosmismo  north=Alilmo south=Dusmegismo east=Amulme
Dilasmu  east=Mosniga
Elesna  east=Dodu-Migigu west=Mu-Exe
Dudu-E  north=Dudu-A south=Elinagimigu east=Egusmisma west=Menala
Esmila  north=Malnago south=Esnixima east=Digeme
Esmo  east=Enolno
Do-Amu  north=Masmolmo south=Dudelu
Dinosma  west=Delmu-A
Esnole  north=Anaxolmu south=Mimilne east=Dolnolo
Asmesmu  north=Mu-Dego south=Eludalo east=Amixe west=Migo
Egosmu  north=Du-Ago south=Agaxo east=Asnola west=Agulne
Anosma  north=Melmisnima south=Elalosmu east=Maxo-Mo
Molmosmo  north=Dudema south=Dudosno east=Desnode
Dasmolo  north=Anudiligo south=Melanismu west=Denelo
Eninile  north=Memino south=Dememixe east=Dinano
Dode  north=Doda south=Eludinisma
Manale  north=Agagode south=Dexame east=Mesmanu west=Exexalu
Mu-Esno  north=Egilnisme south=Anemusmo
Menude  south=Dalaxe east=Eginusna
Alile  north=Axo-De east=Elusna west=Exodilu
Desnana  north=Aximesna south=Do-Do-Ma east=Danasme west=Mudule
Exana 
Milulinu  south=Emuline east=Exelagiga
Maxege 
Elosma  north=Asmaxe
Dolnege  north=Degosnine west=Dusmosmo
Alusma  east=Masnisne
Misno-A  north=Alagulne south=Amu-Mimo east=Memelmo
Amo-Da  north=Dagasmisno south=Examana east=Amolne
Mulnudismismino  south=Dolene west=Daxixa
Alegoda  north=Agolo south=Minema west=Milamo
Egusmu  south=Dage east=Esnexige
Ena  north=Denodilmu east=Elmusno
Dismine  north=Exe east=Esmu-Me
Exanole 
Egaxu-E  south=Dema
Aginasna  south=Minesme east=Anesme west=Exusmixa
Mo-Mega  north=Eno-A west=Anenemino
Agigodu  north=Daxigu south=Alulnixa west=Emegudo
Mo  north=Agodusne south=Axegosme
Mosnoda  south=Malisnime east=Asmage
Dulige  south=Alema east=Egemo
Alulamu  south=Mu-Dalu west=Dilnaga
Degolmu  north=Mimige west=Anu
Mosno-Do  north=Dosmigu east=Axamasna west=Misnu
Du-A  south=Denemu
Ego-Esme  north=Agemimo south=Dixaxu east=Dulolina
Egosmo  east=Emulmo west=Modula
Dulmude  north=Alisne
Mismilo  south=Dilulo east=Dixiga
Mudixa  north=Agesnisne
Dodene  north=Mimagimu south=Mixu east=Almigu
Dodu-Ma  north=Mima east=Mu-Ena
Dulodo  south=Duloda west=Du
Mosmixixu  south=Amodu-A east=Alegiga
Du-Exu  north=Dimemu east=Daxixa west=Axo-Du
Molenina  east=Amilna west=Alegisna
Mesnimu  south=Do-Asma west=Danegine
Aludude  north=Dememo west=Mimosnigu
Dalmu  north=Amisnu east=Diliga
Anolnina  north=Exanilna south=Exigolo east=Agigesna west=Dosmemina
Asmene  west=Asme
Memode  north=Anigodu east=Esmano
Danisma  north=Alenude
Emanelo  north=Exeludu south=Axusmo east=Dalemo west=Egenema
Elagode  south=Exigeno east=Exinasnu
Axixisno  north=Esmu-Ma east=Dilemu west=Asmuda
Egigelila  west=Damuligo
Asmexu  north=Menu-A south=Diginige east=Agaxalne west=Emaxelo
Delane 
Melusminu  north=Agamismo east=Musme west=Enaxixa
Amaxudo  north=Egixu south=Asmalo east=Megame
Dagelmu  south=Exolodo
Molasnina  south=Exo-Dimo east=Exalmu
Enulamu  north=Exodu
Elodige  south=Mamaxila
Danu-De  north=Enolmimu south=Musnu east=Emesnige
Malimu  north=Dodu-Migigu south=Agegana
Alaxo  north=Enodu south=Dodago east=Esnu west=Enu-Emina
Dilime  south=Denisnu east=Asmusme west=Exolnisme
Elexodu  north=Mixama south=Anaxudu
Mexinismu  north=Dinilo south=Agaxalismu east=Migalmilu
Amine  north=Asno-De south=Daxexa east=Dixaga
Migisnismo  south=Anasna
Dasninu  north=Amelme east=Esneme
Emolosmu  south=Mesmexa east=Megagila west=Enodu-E
Dudolne  south=Du-E west=Agagisnisno
Mexegimu  south=Menole east=Mimo-E
Agaxeme  south=Demine west=Mismismu
Elo-Ene  north=Elinosno south=Damamile west=Dilolmo
Alenaxe  east=Axasmo
Ememusma  north=Egilegu south=Anago-A east=Modagu
Dismigo  north=Musnaxu east=Agismo west=Mimema
Dexesmu  north=Eginaga south=Egalme east=Agasno
Manixiga  west=Masnisnu
Enenuda  north=Asnodimu south=Dimo-Da west=Mesmeligo
Axilinu  south=Axexano east=Enisnigo west=Maxudo
Dimesmu  west=Anolu
Egasma  north=Asmane west=Dimigu
Emodulu  north=Exosnigo south=Dolusme east=Dasnulu west=Dusmagu
Ego-Mo  north=Anolesno south=Ego-Ma west=Amemala
Esmo-Me  north=Esmiximu south=Dasnolno
Elamela  north=Dexanige south=Mu-Alo east=Magode west=Molaxe
Do-Dima  north=Almisma south=Magaxe
Alnelmu  west=Axexolnu
Mememixe  east=Misnima
Anilnu  north=Mosmamilu south=Mosmexismisna east=Musmolo west=Dexesne
Masne  south=Esmimo east=Delnusmu west=Denixo
Molega  north=Milimixe south=Amolne east=Migulima west=Dagasmisno
Mudule  north=Duda east=Desnana
Elmolo  north=Dixale east=Damegimo
Minegu  north=Emelole south=Enisna east=Esno-Me west=Emusma
Exo-Alu  north=Malmisma south=Mosnexige east=Dosnoda west=Asmage
Mexode  east=Aximalu west=Exu-Age
Emu-Mo  south=Aludaga east=Ameguda
Egalame  north=Exalmo east=Aginale
Exigeximu  north=Miguda south=Mosmismu west=Dexale
Almodo  north=Mu-Dine west=Dudisne
Dixelismu  north=Enu-E south=Mu-Digu
Maxulmu  north=Enalodu west=Agosnime
Magegisnina  west=Elegodu
Delne  north=Eginenu east=Anemasno
Mulanu  north=Enudolo south=Alo-Du east=Alulime
Elu-Milige  north=Maxo west=Mixolixe
Dolmesme  east=Doludixa west=Axegosme
Minixe  north=Aganexe south=Anelaxo
Disnusmo  south=Dosmamo west=Egamo-A
Elnu-A  north=Denisno south=Dismudilixu east=Dusnu-Mo west=Axexisnu
Elenelmixa  south=Anemesmo east=Alusna
Anenemino  north=Dimixo south=Mixulmu east=Mo-Mega
Emismu  south=Megesmiminixine east=Agano-A
Emegudo  north=Maxalu south=Mu-Mimo east=Agigodu west=Exegaxiga
Milila  east=Menaga west=Egisna
Elaxenigo 
Mixolmixa  north=Mosnolo south=Dudala west=Dulismige
Dilnaga  north=Do-Memo east=Alulamu
Axexisne  south=Asmesme west=Do-Agu
Demixa  south=Exexalinu east=Molusnu
Menagigu  north=Do-Maxo east=Anusnu west=Axudagu
Almexa  north=Dudalma east=Dilolnu
Emixosme  south=Anemasno east=Mamexe west=Eginenu
Enenosna  north=Mesnulima south=Esno-E east=Delile
Amexeme  south=Mu-Asno east=Enexo-A west=Do-Asma
Dega  north=Anodulma west=Dalesminu
Emalisna  south=Mosmuda
Axisnismu  north=Molosme west=Delaniga
Mixamo  north=Dudimu south=Axalu-Mo
Alegisna  north=Deludima south=Elmoda east=Molenina
Exexesno  east=Amu-A
Daxulna  north=Mamelno
Exoliga  east=Asmodilna west=Almu
Eminege  north=Dexulmo west=Dismudimu
Dixusno  north=Egasno east=Asmudisnu
Ego-Ana  north=Anamago south=Modosnu west=Migago
Eninena  north=Mismexe south=Emasnilo east=Dilne
Mixudimismo 
Milo-Mu  north=Dusnasno south=Esnosna
Agulmisma  north=Emasme south=Mismu east=Demo-Do
Alasno  north=Disninu east=Anelniga west=Dixusmu
Desmu-Mu  north=Axenusma south=Demesnu east=Esmelu
Do-Dinu  north=Anenudu
Axixaxo  south=Dinixu west=Alaximo
Manago  east=Exegixo
Axalesno  north=Esmamu east=Axolodu
Menaga  north=Dolmime south=Muleno west=Milila
Mesnosnixo  south=Anigane west=Dasnaxilo
Axigesmu  north=Dimelne
Musno-E  west=Anasna
Examimimu  west=Enexe
Dusmegismo  north=Mudosmismo east=Enu
Asnismu  south=Minexa
Axodexe  south=Esnegime east=Memamu
Malnago  north=Esmilo south=Esmila east=Musmexine west=Malexo
Masmolmo  north=Egesmo south=Do-Amu east=Mixano west=Do-A
Anaxolmu  north=Egudege south=Esnole
Milulixinu  north=Miligixu
Du-Ago  north=Esmu-Du south=Egosmu
Mesmaxo  north=Dixiligixa east=Digusmisnilna west=Enigelu
Elalosmu  north=Anosma south=Anosme east=Dagego
Mudaxu  west=Daleme
Miximu  north=Ane south=Deginigige west=Axino
Melanismu  north=Dasmolo south=Megame east=Agemosmisne west=Egixu
Dememixe  north=Eninile east=Alisnu
Musnalnu  south=Mesmino east=Delode
Eludinisma  north=Dode west=Musnesnu
Dexame  north=Manale east=Dixaxo west=Mamanu
Misneme  south=Dolno east=Asnilniga
Egilnisme  north=Anilema south=Mu-Esno east=Egaxudo west=Disnusmiga
Anenino  north=Aludalu south=Enosne east=Milego west=Ano-Exixo
Axo-De  north=Dulo south=Alile west=Dimusno
Aximesna  north=Dimigu south=Desnana west=Duda
Daxexo  west=Minamo
Dago-E  north=Dasnasmisno east=Aludu
Exenoda  east=Asmodixu west=Mosnimu
Agusmo  south=Elmo
Asmaxe  north=Du-Esno south=Elosma east=Mu-Alme
Dagina  north=Masmosmu south=Desnagixina
Degosnine  north=Anegudo south=Dolnege
Modigige  south=Dexosnino east=Mululme
Examana  north=Amo-Da west=Mo-Dismo
Dolene  north=Mulnudismismino south=Anolulmime east=Aninixa
Minema  north=Alegoda west=Alosnu
Dage  north=Egusmu south=Du-Demimo east=Aminosmu
Milnigigu  north=Mude south=Emudelo east=Musmamo
Denodilmu  north=Anexe south=Ena west=Do-Mole
Exe  north=Ago-Agu south=Dismine east=Memolne
Mismene  north=Dimalo east=Alulelme
Axudixo  north=Menemo south=Elmilime east=Dusnixo
Dudanismila  north=Dilo-A west=Milnelu
Minesme  north=Aginasna south=Emamolo east=Enexixu west=Magino
Eno-A  north=Mememu south=Mo-Mega east=Modegixe west=Dimixo
Amalno  south=Dixilna east=Alo-Ma
Alulnixa  north=Agigodu west=Mu-Mimo
Egududa  south=Milnude east=Elmuda west=Enisnigo
Axegosme  north=Mo south=Mu east=Dolmesme
Malisnime  north=Mosnoda south=Elegosmimila east=Dusnimilu
Aligolnu  south=Melmala east=Eludolismu west=Mulage
Mododa  north=Agismo south=Dusnu-Dixa
Mu-Dalu  north=Alulamu south=Degelo
Melmu-Me  north=Musmusmigu east=Axanesmo
Mimige  north=Alulalima south=Degolmu east=Alegago west=Egesno
Dosmigu  north=Anexu south=Mosno-Do east=Migimo west=Dilmigigine
Exagame  north=Elalolnixisnisme
Agemimo  south=Ego-Esme
Aginige  north=Manexo east=Dasnusmina
Alisne  south=Dulmude east=Asnininina
Degino  north=Asmelixu east=Du-Alna
Mixu  north=Dodene east=Asniligo
Mino-Du  west=Mo-Dolno
Duloda  north=Dulodo east=Malosno west=Disno-Ma
Amodu-A  north=Mosmixixu south=Do-Dolu west=Exo-Mo
Ego  south=Dodu
Amulu-A  north=Eluda south=Egelesmu east=Esmage west=Aginale
Axaxege  south=Mo-Mu-E west=Maxosme
Dememo  north=Mamodo south=Aludude west=Emimu-Misma
Ano-Ane  north=Mulage south=Emulnixu east=Melmala
Exanilna  north=Exigolu south=Anolnina east=Mano
Mesmigigo  north=Modusna south=Dexo east=Anu-Esnu west=Musmo
Exolilma  north=Mamalme east=Esmena
Anigodu  south=Memode
Esmasne  north=Alenulno south=Esmasna east=Disno west=Do-Mosno
Exeludu  north=Dolmodo south=Emanelo east=Asnosmu
Egodisno  east=Elmule west=Amolusnisnu
Exigeno  north=Elagode
Dolmasmixu  north=Modolilmu south=Exelasnu east=Asnexo
Dasnilu  south=Dexesne east=Mosmamilu
Modisma  north=Mu-Aga west=Asnixixe
Esnosnu  east=Daxama
Agamismo  south=Melusminu west=Milega
Elmuda  north=Mulme east=Mo-Mudo west=Egududa
Alelema  north=Mo-Enu east=Alige west=Axasnisnu
Mu-Dulu  north=Denemilo south=Migaxo east=Musnismo
Exodu  north=Egamexina south=Enulamu west=Agamanu
Anenasne 
Enisnime  north=Mimalo east=Elnigo
Musnu  north=Danu-De south=Danu-Da east=Enelane west=Modagu
Migexe  north=Megesmu south=Dosnixu east=Delmu-A west=Migusma
Dodago  north=Alaxo south=Almosno east=Emodusmimu
Anigega  north=Elegodu
Denisnu  north=Dilime south=Daxo west=Exusno
Agaxalismu  north=Mexinismu
Daxexa  north=Amine south=Aminu-Du east=Mulnile west=Alne
Anasna  north=Migisnismo east=Musno-E
Maxaga  south=Axagodixe east=Amege west=Milismimina
Asmu-Mino 
Agexa  north=Mulmo west=Dusmegimu
Malisne  north=Desmalu south=Mimusnisma
Elinosno  south=Elo-Ene
Dixile  north=Misnegu south=Axu-Do west=Musmigu
Musnaxu  south=Dismigo east=Dinexo
Dolagimismo  east=Axexulo
Eginaga  south=Dexesmu west=Ege
Dilanilu  south=Mesnegu east=Miligu west=Dalaxinu
Dimo-Da  north=Enenuda
Axexano  north=Axilinu east=Enulu west=Migaligu
Dinagixo  north=Do-Agu south=Emudexu east=Asmesme
Dolusme  north=Emodulu east=Masmesmimo
Ageno-A  south=Anudisniga
Esmiximu  south=Esmo-Me west=Dexosna
Almisma  north=Almismo south=Do-Dima east=Daxeme
Mago  south=Manodo east=Minexa
Memixime  south=Asnusmima east=Alela west=Musmisnigilmila
Almu-E  south=Maximo east=Dinosnigo west=Denosna
Milimixe  north=Elanasmiga south=Molega east=Emanegu west=Mu-Damu
Dolisne  north=Memesnino south=Demalmimismu
Dolilo  north=Emolmo south=Degismigismo east=Modanu
Do-Du-E  south=Daxode west=Axixixa
Enisna  north=Minegu east=Magimo
Mosnexige  north=Exo-Alu south=Amudagu west=Dusnimilu
Aludaga  north=Emu-Mo east=Esmolo
Mosmismu  north=Exigeximu
Exelisne  south=Emenolno
Enu-E  north=Du-Maxe south=Dixelismu
Emodusmimu  north=Esnu south=Damusmiga east=Musnime west=Dodago
Axagaxo  north=Eginu-Dilnilma south=Elalode
Enudolo  north=Dilasnixe south=Mulanu
Maxo  south=Elu-Milige west=Magudo
Anelaxo  north=Minixe south=Minixo east=Do-E
Digudilino  south=Dinagu east=Asnigino
Dosmamo  north=Disnusmo south=Enalismu east=Mu-Anu
Dismudilixu  north=Elnu-A east=Eligigimu west=Delo-A
Anemesmo  north=Elenelmixa west=Migusmo
Mixulmu  north=Anenemino
Mo-Miga  south=Anagiga east=Elnilminigu
Maxalu  south=Emegudo east=Daxigu west=Mamole
Dulolina  west=Ego-Esme
Enudega  north=Asnola south=Denudo west=Agaxo
Mosnolo  north=Dege south=Mixolmixa
Axinuda  north=Dixodu
Demixu  south=Danixu west=Dodesno
Dudusna  north=Migaga west=Enigala
Dudalma  north=Egine south=Almexa east=Alalnimismu west=Exodama
Anemasno  north=Emixosme west=Delne
Dasno-E  south=Elosmilu east=Musnexa west=Alu-Me
Esno-E  north=Enenosna south=Agismu
Ego-Mige  east=Esmu-Da
Mosmuda  north=Emalisna east=Enemulmiga
Molosme  south=Axisnismu
Dudimu  north=Elosno south=Mixamo
Deludima  south=Alegisna west=Alnila
Delo-A  north=Axexisnu south=Ameninu east=Dismudilixu
Mamelno  north=Amolodo south=Daxulna
Dasmixa 
Egenago  south=Dodudu
Modosnu  north=Ego-Ana east=Desno west=Migaga
Emasnilo  north=Eninena east=Esnexilno
Axixaxe  north=Amigu-E east=Eligusna
Melemo  east=Du-Dagu
Emasme  south=Agulmisma east=Enu-Mixisno
Axenusma  south=Desmu-Mu east=Duludu
Do-Emimo  west=Doleme
Esmamu  north=Emaxosna south=Axalesno
Dolmime  south=Menaga
Emelo-E  east=Enalminu
Dinisme  north=Musnego south=Mesmulu
Maxine  south=Agenagu east=Animimu west=Dusnanu
Exilaxu 
Dilelu  north=Mimo-E south=Mimo-A west=Menole
Minexa  north=Asnismu west=Mago
Esnegime  north=Axodexe east=Manusme
Emulodisma  south=Examusmu
Esmilo  north=Milesnu south=Malnago east=Minino
Egesmo  south=Masmolmo west=Esnela
Egudege  south=Anaxolmu east=Agisne west=Disnelilnilnu
Magina  north=Mamixigilu west=Digexe
Miligixu  north=Eludalo south=Milulixinu east=Esmodime west=Animolme
Esmu-Du  north=Elodamixu south=Du-Ago east=Mu-Me
Melimime  south=Anexusmu east=Exudima
Anosme  north=Elalosmu south=Desnena east=Milusna
Deginigige  north=Miximu south=Ana east=Degu-Do west=Animimu
Desnelu  west=Mageme
Megame  north=Melanismu south=Megulo east=Dixinina west=Amaxudo
Mesmanila 
Mesmino  north=Musnalnu south=Anasnimo east=Dolago west=Musnasme
Animu-A  north=Emudolu south=Doda west=Memimigu
Asmusnixe  south=Ageliga east=Anu-Ma
Dexamo  south=Agagode east=Dixaxu
Dolno  north=Misneme south=Mesmalme
Anilema  north=Agexu-Ma south=Egilnisme west=Enilo-E
Malo-E  north=Asmo-Du
Aludalu  north=Axinilo south=Anenino east=Masmisnilna west=Maximu
Dulo  north=Agego-Misna south=Axo-De east=Manelu
Dimigu  south=Aximesna east=Egasma west=Alexixo
Exusno  north=Exolnisme east=Denisnu
Dasnasmisno  north=Mimu-De south=Dago-E east=Dismime west=Exagaxe
Elmo  north=Agusmo south=Agusma
Desnagixina  north=Dagina west=Do-E
Anegudo  south=Degosnine west=Dexolu
Molixo  south=Dagula east=Alu-Mu
Dexosnino  north=Modigige south=Anelniga west=Disninu
Damenu  east=Agalaxe west=Masmeme
Anolulmime  north=Dolene east=Musmemo
Megasmu 
Daligimu  south=Agodusma west=Masnuda
Du-Demimo  north=Dage south=Amixixa
Mude  north=Alagagimo south=Milnigigu east=Agusna
Anexe  south=Denodilmu west=Molmudisma
Ago-Agu  north=Agemilo south=Exe east=Daxesno west=Molana
Emixexa  west=Egegusma
Menemo  north=Menosmo south=Axudixo west=Axanasnigixime
Enolno  north=Digude south=Danuda east=Agu-Ma west=Esmo
Mememu  south=Eno-A
Dixilna  north=Amalno east=Dismexe
Emilnigu  south=Mo-Ana
Mu  north=Axegosme west=Dudesme
Amixe  south=Enixamu west=Asmesmu
Melmala  north=Aligolnu south=Esmisma west=Ano-Ane
Dusnu-Dixa  north=Mododa south=Egena west=Musnaxe
Masnega  north=Anigilu west=Mesnilo
Alulalima  north=Meno-De south=Mimige
Anexu  south=Dosmigu
Enene  north=Du-E
Elalolnixisnisme  north=Do-Anisma south=Exagame west=Agodisno
Manexo  south=Aginige
Egulema  west=Menamigu
Asmelixu  south=Degino east=Mesnosmo
Emanode  south=Mimagimu
Anusmo  south=Mima east=Mesnilnixa
Exodama  north=Anudenige east=Dudalma
Axaxaga  south=Eninusno east=Molama
Do-Dolu  north=Amodu-A south=Alnama west=Mudasnu
Egelesmu  north=Amulu-A south=Dimemu east=Dasmigu west=Dana
Aminoda  north=Esmexe east=Amilne
Dasmu-Mu  north=Mismemu west=Masno-E
Mamodo  south=Dememo
Egamusmo  north=Egalalimo west=Enisne
Mulage  south=Ano-Ane east=Aligolnu
Elmolixe  north=Exigolo south=Delu west=Exaxaxo
Modusna  south=Mesmigigo east=Dilmula west=Asmu
Mamalme  north=Dimele south=Exolilma
Esmasna  north=Esmasne south=Alenude west=Esnama
Dolmodo  south=Exeludu east=Anulna
Molaxe  east=Elamela
Esmu-Me  north=Memolne south=Esmu-Ma east=Agalmilixo west=Dismine
Exelasnu  north=Dolmasmixu east=Mosnesme
Dageno 
Menilo  south=Agodu west=Menu-Do
Dismexe  north=Alo-Ma south=Molo-Ma east=Denago west=Dixilna
Mulme  north=Deleno south=Elmuda
Egulixu 
Mo-Enu  north=Dalilu south=Alelema
Denemilo  north=Exo-Dimo south=Mu-Dulu
Egamexina  south=Exodu east=Esmesnu west=Dosmexixigu
Mimalo  north=Dolmesmu south=Enisnime west=Mosnine
Alnulu  south=Desmaxe west=Elilna
Megesmu  south=Migexe east=Do-Ega
Exasno  west=Mudo-Mimo
Agosnime  north=Dodagu south=Enodu east=Maxulmu west=Esnixe
Daxo  north=Denisnu south=Modiga
Mixinige  south=Mixama east=Molile
Aminu-Du  north=Daxexa east=Daxu west=Milmale
Dusnu  north=Mulige south=Exinulnilo west=Dinosmu
Mixago  east=Duludigu
Mulmo  south=Agexa west=Daxima
Agamele  north=Misnama west=Elmelo
Desmalu  north=Demine south=Malisne east=Megemu
Dasmigu  north=Esmage south=Emusmu east=Asmesno west=Egelesmu
Axu-Do  north=Dixile south=Egilegu west=Enu-Esma
Magasne  north=Dulosmixu east=Anosnisme
Mala  north=Egalme south=Daxesnilo east=Delnele
Mesnegu  north=Dilanilu south=Duludu
Diliga  north=Musmege south=Asnodimu west=Dalmu
Asnosmu  north=Anulna south=Dalemo east=Egulage west=Exeludu
Emudexu  north=Dinagixo south=Mimaxu east=Anu-Alu
Egasmo  south=Asmane
Anudisniga  north=Ageno-A south=Anolesno east=Egeludo
Exinasnu  north=Mu-Alo east=Damexa west=Elagode
Almismo  south=Almisma west=Anaxamo
Dimosna  north=Elalixima
Enesna  east=Migele
Maximu  south=Ano-Exixo east=Aludalu
Elanasmiga  north=Egixusmu south=Milimixe east=Megu west=Enu-Elu
Memesnino  south=Dolisne
Degismigismo  north=Dolilo south=Danalilmu east=Aliximu
Daxode  north=Do-Du-E south=Dolnanigu east=Mudo-Mimo
Axena  south=Esmixa east=Agimo-De
Menolmo  west=Mudu
Exalmu  west=Molasnina
Elinudo  south=Mu-Dine east=Anemu
Egegilu  north=Agesna south=Meno
Esnu  south=Emodusmimu west=Alaxo
Eginu-Dilnilma  north=Agosnine south=Axagaxo east=Agilusmo
Exodale  north=Alo-Du east=Desmiga
Axisnina  north=Molile west=Mixama
Agaxoda  north=Exiligu west=Mimu
Megagila  north=Dixo-A west=Emolosmu
Dinagu  north=Digudilino south=Ago-Ale east=Molmene west=Anilosna
Dixilmiga 
Amilala  north=Dilnimo south=Asnelne west=Moligu
Melixe  east=Exodo-E
Anagiga  north=Mo-Miga south=Molasno east=Elodenina west=Asnalime
Amodolixo  south=Agana east=Agasna
Denudo  north=Enudega south=Egexesmo
Mesnexe  north=Mimuda south=Mimude
Dixodu  south=Axinuda east=Mulule
Anu-Alu  north=Asmesme east=Delmalmisno west=Emudexu
Dudusnu  north=Enaxamo south=Aximulna east=Mexa
Doleginigila  south=Esmismo east=Digoda
Egine  south=Dudalma east=Dudu-Do west=Anudenige
Elosmilu  north=Dasno-E east=Asnima
Agismu  north=Esno-E south=Dudeme east=Moda
Mo-Disna 
Musmolo  north=Damego south=Axilu-Minilmo east=Alexanu west=Anilnu
Dulnu-Mo  west=Do-Aga
Delnusmu  north=Daxege west=Masne
Mudasnu  north=Exo-Mo east=Do-Dolu west=Dulenilo
Axisno  north=Dexu-E east=Emenodu
Dasmosma  north=Enexasnile east=Anolmu west=Emolaga
Axexisnu  south=Delo-A east=Elnu-A
Dolosna  north=Desnosnu east=Do-Mo-A
Mosmame  south=Minala
Mego-Mo  east=Egisne west=Mixudu
Asmo  south=Dodele east=Exaliga west=Egilnino
Dodudu  north=Egenago south=Mudalu east=Axu-Mile
Agagesme  south=Minaga east=Esmixiliga
Axu-Me 
Esmesna 
Amigu-E  north=Malo south=Axixaxe
Emilemigo  north=Asnolnu south=Mudina
Enusmo  west=Emosne
Anoludimu  south=Damusnu
Degulninu  north=Axa east=Axodeme west=Aganu
Exudu  west=Malelna
Emaxosna  north=Malage south=Esmamu west=Egago-Dixa
Agigulixo  north=Muleno east=Degema west=Mu-Me
Musnego  north=Anigane south=Dinisme east=Esnexo
Demega  north=Anexexe east=Dosnusnu west=Elnixe
Exigo  north=Axagusme south=Agudo
Mimo-A  north=Dilelu east=Ego-Alo
Alalnimismu  north=Dudu-Do south=Dilolnu west=Dudalma
Examusmu  north=Emulodisma south=Anigude west=Elesmu
Milesnu  north=Mile south=Esmilo east=Mudulu
Dudaga  north=Mo-Moda east=Axudu-Minisma west=Emagame
Dinosmu  north=Maxulnisme east=Dusnu
Enude 
Mamixigilu  south=Magina
Elodamixu  north=Egisna south=Esmu-Du west=Elisminu
Desnena  north=Anosme south=Emenodu east=Elulema west=Dexu-E
Alanamo  north=Dimu south=Dududisma
Ana  north=Deginigige south=Egodosna east=Emexana
Megulo  north=Megame south=Megama east=Elenu west=Asmalo
Mosmu-Mo 
Anasnimo  north=Mesmino
Doda  north=Animu-A south=Dode west=Esnasma
Amu-A  north=Esmolu south=Axinema west=Exexesno
Agagode  north=Dexamo south=Manale west=Du-Egu
Agexu-Ma  north=Exixamu south=Anilema west=Dulu-Da
Asmo-Du  north=Mulmulmu south=Malo-E east=Eximexe
Dinosnigo  north=Enosne south=Masmulmigu east=Dodima west=Almu-E
Alnagu  west=Dusmilnigu
Agego-Misna  north=Dagode south=Dulo east=Emino-Do
Exolnisme  south=Exusno east=Dilime
Mimu-De  north=Mulmesmisminu south=Dasnasmisno west=Exixo-Me
Agusma  north=Elmo south=Elma
Dosnodo  south=Masmosmu west=Dudilo
Dagula  north=Molixo south=Axeno-Du west=Exo-De
Anelniga  north=Dexosnino south=Agigigu east=Enixinu west=Alasno
Dilosnisne 
Alimu  north=Minula south=Minule east=Elmasna
Agolo  south=Alegoda west=Mosnu
Amixixa  north=Du-Demimo south=Aginaga east=Eninesno
Alagagimo  south=Mude east=Dixaxe
Alnode  south=Mosmale west=Digu-A
Agemilo  north=Dalmoda south=Ago-Agu east=Ananexu
Desnamu  west=Diname
Menosmo  south=Menemo east=Axulemo west=Mimu-Mixe
Musmexine  north=Minino south=Digeme west=Malnago
Danuda  north=Enolno east=Elnexe
Mu-Axe  north=Mesnesne south=Agolmu west=Mismode
Daxigu  south=Agigodu west=Maxalu
Mo-Ana  north=Emilnigu south=Mu-Axixu east=Exigiga west=Moda
Enixamu  north=Amixe south=Esmodime west=Eludalo
Menaxo  south=Esmosme east=Emudelo west=Molenile
Dinexo  north=Examesne south=Agismo west=Musnaxu
Digusmisnilna  east=Dimaxo west=Mesmaxo
Meno-De  north=Esnanixu south=Alulalima west=Masmaxa
Eninu  north=Memisno west=Anudiligo
Do-Anisma  south=Elalolnixisnisme west=Alenu
Dixaxu  north=Ego-Esme west=Dexamo
Amolemila  east=Dilmusna
Amolno  north=Elasnixo
Dexudine  north=Enasmo south=Dexelu
Mimagimu  north=Emanode south=Dodene east=Esmalixa
Mima  north=Anusmo south=Dodu-Ma east=Amixexilo west=Mu-Amo
Mimasmu  south=Enelno
Alnama  north=Do-Dolu
Dinalisno  north=Enixudu south=Alosnisma
Asmemo  north=Mo-Mu-E south=Dimemimu
Egalalimo  north=Ego-E south=Egamusmo west=Mo-Me
Enimima  east=Egegolilu
Exigolo  north=Anolnina south=Elmolixe west=Denene
Dimele  south=Mamalme
Anilanu  south=Alenulno west=Mosmale
Disnode  north=Exigusno east=Dilaxu
Esmu-Ma  north=Esmu-Me south=Axixisno east=Dodolmu
Dagolo  south=Mixesmu west=Dimelmino
Agodu  north=Menilo west=Dusmudino
Modisme  north=Degagu south=Mu-Aga west=Modigima
Alo-Ma  south=Dismexe east=Do-Axa west=Amalno
Melusmina  north=Milolo south=Asmiliga west=Dodima
Desname  south=Denelo east=Anudiligo west=Enanusne
Dalilu  south=Mo-Enu east=Dagaxisma
Mego-A  north=Migaxo west=Denexo
Agelmu 
Dolmesmu  north=Mimale south=Mimalo east=Mudena west=Manolno
